no,nworkers,free-mem /Gi,free-swap /Gi,exec time /sec,gc time /sec,gc pause avg /ms,gc pause max /ms,free rate /MB/sec
1,16,10.46 ,8.00 ,1027.29 ,0.19 ,15.50 ,48.00 ,2931.70 
2,12,11.39 ,7.80 ,1037.46 ,0.21 ,17.12 ,54.00 ,2664.30 
7,10,12.25 ,7.20 ,968.29 ,0.17 ,15.05 ,53.00 ,3312.80 
3,8,12.53 ,7.50 ,953.94 ,0.16 ,13.28 ,48.00 ,3448.10 
6,8,12.57 ,7.20 ,959.75 ,0.16 ,12.98 ,48.00 ,3525.50 
5,6,13.10 ,7.10 ,933.35 ,0.15 ,12.18 ,48.00 ,3754.70 
8,6,13.13 ,7.10 ,944.99 ,0.14 ,13.12 ,49.00 ,3802.60 
4,4,13.45 ,7.30 ,1007.57 ,0.14 ,12.35 ,48.00 ,4046.60 
9,,,,,,,,
,,,,,,,,
,,,,,,,,
